kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
是,414,just so,sun; day; mend,ゼ; シ,これ; この; ここ,9,N1,ze (ON); shi (ON); kore (KUN); kono (KUN); koko (KUN)
題,415,topic,just so; sun; day; mend; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ダイ,,18,N4,dai (ON)
堤,416,dike,soil; dirt; ground; just so; sun; day; mend,テイ,つつみ,12,N1,tei (ON); tsutsumi (KUN)
建,417,build,brush; stretch,ケン; コン,た.てる; た.て; -だ.て; た.つ,9,N4,ken (ON); kon (ON); ta.teru (KUN); ta.te (KUN); -da.te (KUN); ta.tsu (KUN)
鍵,418,key,metal; gold; build; brush; stretch,ケン,かぎ,17,,ken (ON); kagi (KUN)
延,419,prolong,drop; stop; footprint; stretch,エン,の.びる; の.べる; の.べ; の.ばす,8,N2,en (ON); no.biru (KUN); no.beru (KUN); no.be (KUN); no.basu (KUN)
誕,420,nativity,say; words; keitai; mouth; prolonged; drop; stop; footprint; stretch,タン,,15,N1,tan (ON)
礎,421,cornerstone,stone; rock; grove; tree; wood; zoo; critters,ソ,いしずえ,18,N1,so (ON); ishizue (KUN)
婿,422,bridegroom,woman; zoo; critters; moon; month; flesh; part of the body,セイ,むこ,12,N1,sei (ON); muko (KUN)
衣,423,garment,top hat; scarf; cloth; clothes; clothing,イ; エ,ころも; きぬ; -ぎ,6,N2,i (ON); e (ON); koromo (KUN); kinu (KUN); -gi (KUN)
裁,424,tailor,Thanksgiving; harvest festival; ten; needle; fiesta; top hat; scarf; cloth; clothes; clothing; garment,サイ,た.つ; さば.く,12,N1,sai (ON); ta.tsu (KUN); saba.ku (KUN)
装,425,attire,turtle; samurai; top hat; scarf; cloth; clothes; clothing; garment,ソウ; ショウ,よそお.う; よそお.い,12,N2,sou (ON); shou (ON); yosoo.u (KUN); yosoo.i (KUN)
裏,426,back,top hat; scarf; computer,リ,うら,13,N2,ri (ON); ura (KUN)
壊,427,demolition,soil; dirt; ground; poltergeist; BernaE; ten; needle; eye; cross-eyed; net; top hat; scarf; cloth; clothes; clothing; garment,カイ; エ,こわ.す; こわ.れる; やぶ.る,16,N1,kai (ON); e (ON); kowa.su (KUN); kowa.reru (KUN); yabu.ru (KUN)
哀,428,pathetic,top hat; scarf; mouth,アイ,あわ.れ; あわ.れむ; かな.しい,9,N1,ai (ON); awa.re (KUN); awa.remu (KUN); kana.shii (KUN)
遠,429,distant,earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf; road,エン; オン,とお.い,13,N3,en (ON); on (ON); too.i (KUN)
猿,430,monkey,pack of wild dogs; earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf,エン,さる,13,N1,en (ON); saru (KUN)
初,431,first time,cloak; sword; dagger,ショ,はじ.め; はじ.めて; はつ; はつ-; うい-; -そ.める; -ぞ.め,7,N3,sho (ON); haji.me (KUN); haji.mete (KUN); hatsu (KUN); hatsu- (KUN); ui- (KUN); -so.meru (KUN); -zo.me (KUN)
巾,432,towel,,キン; フク,おお.い; ちきり; きれ; はば,3,,kin (ON); fuku (ON); oo.i (KUN); chikiri (KUN); kire (KUN); haba (KUN)
布,433,linen,by one’s side; towel,フ,ぬの,5,N2,fu (ON); nuno (KUN)
帆,434,sail,towel; mediocre; drop; wind,ハン,ほ,6,N1,han (ON); ho (KUN)
幅,435,hanging scroll,towel; wealth; one; ceiling; mouth; rice field; brains,フク,はば,12,N2,fuku (ON); haba (KUN)
帽,436,cap,towel; risk; sun; day; eye,ボウ; モウ,ずきん; おお.う,12,N2,bou (ON); mou (ON); zukin (KUN); oo.u (KUN)
幕,437,curtain,graveyard; flowers; sun; day; large; St. Bernard; towel,マク; バク,とばり,13,N1,maku (ON); baku (ON); tobari (KUN)
幌,438,canopy,towel; limpid; sun; day; ray; small; little; human legs,コウ,ほろ; とばり,13,,kou (ON); horo (KUN); tobari (KUN)
錦,439,brocade,metal; gold; napkin; white; dove; towel,キン,にしき,16,N1,kin (ON); nishiki (KUN)
